x,y,z,value,isolevel,classical_residual,quantum_ev,y_true,y_pred,abs_ev_err,abs_dist_to_iso,error_kind
23,20,18,0.4908469907959553,0.5,-0.00915300939232111,0.004564016334374199,1,0,0.013717025726695309,0.009153009204044715,false_inside
23,21,13,0.4880100292258599,0.5,-0.011989970691502094,0.014787878787878794,1,0,0.02677784947938089,0.011989970774140102,false_inside
23,24,15,0.5073400535751389,0.5,0.0073400535620749,-0.0019559902200489976,0,1,0.009296043782123897,0.007340053575138894,false_outside
23,24,16,0.5073400535751389,0.5,0.0073400535620749,-0.012388503468780954,0,1,0.019728557030855853,0.007340053575138894,false_outside
24,8,15,0.5073400535751389,0.5,0.0073400535620749,-0.027839369302783856,0,1,0.035179422864858756,0.007340053575138894,false_outside
24,13,13,0.49228930630496714,0.5,-0.007710693869739771,0.003990024937655878,1,0,0.01170071880739565,0.007710693695032855,false_inside
24,14,18,0.4883297152905447,0.5,-0.011670284904539585,0.021562050790608578,1,0,0.03323233569514816,0.011670284709455303,false_inside
24,15,18,0.4847098318649744,0.5,-0.01529016811400652,0.0062893081761006275,1,0,0.021579476290107147,0.015290168135025595,false_inside
24,17,18,0.4883297152905447,0.5,-0.011670284904539585,0.010201542672306552,1,0,0.021871827576846137,0.011670284709455303,false_inside
24,18,13,0.49228930630496714,0.5,-0.007710693869739771,0.006903353057199246,1,0,0.014614046926939017,0.007710693695032855,false_inside
24,23,16,0.5073400535751389,0.5,0.0073400535620749,-0.0074465529666105645,0,1,0.014786606528685464,0.007340053575138894,false_outside
25,10,14,0.48989028716212046,0.5,-0.010109713301062584,0.0022249690976514636,1,0,0.012334682398714047,0.010109712837879536,false_inside
25,16,13,0.4804254160388024,0.5,-0.019574584439396858,0.01364924027813541,1,0,0.03322382471753227,0.0195745839611976,false_inside
25,21,14,0.48989028716212046,0.5,-0.010109713301062584,0.004304160688665681,1,0,0.014413873989728265,0.010109712837879536,false_inside
26,11,15,0.48987718689283266,0.5,-0.010122813284397125,0.0064102564102563875,1,0,0.016533069694653513,0.010122813107167339,false_inside
26,12,14,0.47500230145767997,0.5,-0.02499769814312458,0.01294820717131473,1,0,0.03794590531443931,0.024997698542320035,false_inside
26,13,17,0.519293785979208,0.5,0.019293785095214844,-0.015203531142716997,0,1,0.03449731623793184,0.019293785979207945,false_outside
