x,y,z,value,isolevel,classical_residual,quantum_ev,y_true,y_pred,abs_ev_err,abs_dist_to_iso,error_kind
16,17,22,0.4773793687398574,0.5,-0.022620631381869316,0.016089712335446094,1,0,0.03871034371731541,0.022620631260142576,false_inside
16,19,10,0.4891915300538273,0.5,-0.010808469727635384,0.023668639053254448,1,0,0.03447710878088983,0.010808469946172683,false_inside
16,21,19,0.4891915300538273,0.5,-0.010808469727635384,0.01729106628242072,1,0,0.028099536010056103,0.010808469946172683,false_inside
17,20,11,0.4891915300538273,0.5,-0.010808469727635384,0.023301447142506704,1,0,0.03410991687014209,0.010808469946172683,false_inside
18,10,17,0.5136757969535651,0.5,0.013675796799361706,-0.01381562421502136,0,1,0.027491421014383066,0.013675796953565134,false_outside
18,11,12,0.5136757969535651,0.5,0.013675796799361706,-0.006008171112713345,0,1,0.01968396791207505,0.013675796953565134,false_outside
18,11,19,0.5136757969535651,0.5,0.013675796799361706,-0.0023809523809523725,0,1,0.01605674918031408,0.013675796953565134,false_outside
18,12,11,0.5136757969535651,0.5,0.013675796799361706,-0.015436565364206567,0,1,0.029112362163568273,0.013675796953565134,false_outside
18,13,10,0.4891915300538273,0.5,-0.010808469727635384,0.008567931456548328,1,0,0.01937640118418371,0.010808469946172683,false_inside
18,17,21,0.5136757969535651,0.5,0.013675796799361706,-0.008239700374531811,0,1,0.021915497173893517,0.013675796953565134,false_outside
18,19,20,0.5136757969535651,0.5,0.013675796799361706,-0.004354136429608024,0,1,0.01802993322896973,0.013675796953565134,false_outside
18,21,14,0.5136757969535651,0.5,0.013675796799361706,-0.005803684077718918,0,1,0.019479480877080624,0.013675796953565134,false_outside
19,10,16,0.4891915300538273,0.5,-0.010808469727635384,0.011651469098277634,1,0,0.022459938825913017,0.010808469946172683,false_inside
19,11,13,0.5136757969535651,0.5,0.013675796799361706,-0.008035062089116085,0,1,0.02171085888847779,0.013675796953565134,false_outside
19,13,11,0.5136757969535651,0.5,0.013675796799361706,-0.03222748815165888,0,1,0.045903284951020584,0.013675796953565134,false_outside
19,13,20,0.5136757969535651,0.5,0.013675796799361706,-0.011533742331288233,0,1,0.02520953913064994,0.013675796953565134,false_outside
20,11,15,0.5012833853592303,0.5,0.0012833853252232075,-0.0046511627906977715,0,1,0.005934548115920979,0.001283385359230338,false_outside
20,12,12,0.4773793687398574,0.5,-0.022620631381869316,0.0026927784577723823,1,0,0.0253134098396417,0.022620631260142576,false_inside
20,14,20,0.4891915300538273,0.5,-0.010808469727635384,0.001697792869269965,1,0,0.012506262596905349,0.010808469946172683,false_inside
20,15,11,0.5012833853592303,0.5,0.0012833853252232075,-0.0009760858955587537,0,1,0.002259471220781961,0.001283385359230338,false_outside
20,16,11,0.5012833853592303,0.5,0.0012833853252232075,-0.002942618930848351,0,1,0.004226004256071558,0.001283385359230338,false_outside
20,18,12,0.5136757969535651,0.5,0.013675796799361706,-0.0009828009828010131,0,1,0.014658597782162719,0.013675796953565134,false_outside
20,20,14,0.4891915300538273,0.5,-0.010808469727635384,0.00024207213749694034,1,0,0.011050541865132324,0.010808469946172683,false_inside
20,20,17,0.4891915300538273,0.5,-0.010808469727635384,0.006180469715698411,1,0,0.016988939443333795,0.010808469946172683,false_inside
21,13,13,0.4891915300538273,0.5,-0.010808469727635384,0.004259584064144284,1,0,0.015068053791779668,0.010808469946172683,false_inside
21,13,14,0.5136757969535651,0.5,0.013675796799361706,-0.010930289045421482,0,1,0.024606085844783188,0.013675796953565134,false_outside
21,15,12,0.4891915300538273,0.5,-0.010808469727635384,0.000990589400693409,1,0,0.011799059128328793,0.010808469946172683,false_inside
